Conversation,Condition,DriftType,CRS,BRA,ASI,CRR,HR,ASR,EDS,ERR,AdaptationAction
SNG01856.json,STANDARD,DriftType.SLOT_UPDATE,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.SLOT_UPDATE,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,STANDARD,DriftType.SLOT_INSERTION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.8,0.7000000000000001,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.SLOT_INSERTION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.8,0.7000000000000001,Retrieve Memory
SNG01856.json,STANDARD,DriftType.SLOT_DELETION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.SLOT_DELETION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,STANDARD,DriftType.CONTRADICTION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.CONTRADICTION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,STANDARD,DriftType.GOAL_DRIFT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.GOAL_DRIFT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,STANDARD,DriftType.MULTI_SLOT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.8,0.7000000000000001,Retrieve Memory
SNG01856.json,EQUILIBRIUM,DriftType.MULTI_SLOT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.8,0.7000000000000001,Retrieve Memory
